antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Business Process Analysis'}),frozenset({'Advance Database System'}),0.35,0.385,0.255,0.7285714285714286,1.8923933209647497,1.0,0.12025000000000002,2.2657894736842112,0.7254901960784315,0.53125,0.5586527293844368,0.6954545454545455
frozenset({'Advance Database System'}),frozenset({'Business Process Analysis'}),0.385,0.35,0.255,0.6623376623376623,1.8923933209647497,1.0,0.12025000000000002,1.925,0.7667782560178544,0.53125,0.4805194805194805,0.6954545454545455
frozenset({'Advance Database System'}),frozenset({'Computer Networks and Security'}),0.385,0.365,0.275,0.7142857142857143,1.9569471624266146,1.0,0.134475,2.2225,0.7951219512195122,0.5789473684210527,0.5500562429696289,0.7338551859099804
frozenset({'Computer Networks and Security'}),frozenset({'Advance Database System'}),0.365,0.385,0.275,0.7534246575342467,1.9569471624266148,1.0,0.134475,2.494166666666668,0.7700787401574802,0.5789473684210527,0.5990644837955231,0.7338551859099804
frozenset({'Advance Database System'}),frozenset({'Data Science Programming'}),0.385,0.345,0.27,0.7012987012987013,2.0327498588368154,1.0,0.13717500000000002,2.1928260869565217,0.8261065943992775,0.5869565217391305,0.5439674828987806,0.7419536984754377
frozenset({'Data Science Programming'}),frozenset({'Advance Database System'}),0.345,0.385,0.27,0.7826086956521741,2.032749858836816,1.0,0.13717500000000002,2.829000000000002,0.7756573367260391,0.5869565217391305,0.6465182043124781,0.7419536984754377
frozenset({'Information System Analyst and Design'}),frozenset({'Advance Database System'}),0.355,0.385,0.26,0.7323943661971831,1.9023230290835924,1.0,0.12332500000000002,2.298157894736842,0.7353905784138343,0.5416666666666667,0.564868888125501,0.7038595207609293
frozenset({'Advance Database System'}),frozenset({'Information System Analyst and Design'}),0.385,0.355,0.26,0.6753246753246753,1.9023230290835926,1.0,0.12332500000000002,1.9866000000000001,0.7712632895559726,0.5416666666666667,0.4966274036041478,0.7038595207609293
frozenset({'Machine Learning'}),frozenset({'Advance Database System'}),0.37,0.385,0.29,0.7837837837837838,2.035802035802036,1.0,0.14755,2.844375,0.8076081007115489,0.6236559139784945,0.6484289167215996,0.7685152685152685
frozenset({'Advance Database System'}),frozenset({'Machine Learning'}),0.385,0.37,0.29,0.7532467532467532,2.0358020358020354,1.0,0.14755,2.553157894736841,0.8273058592654893,0.6236559139784945,0.608328179756751,0.7685152685152685
frozenset({'Management and Organizational Behavior'}),frozenset({'Advance Database System'}),0.375,0.385,0.28,0.7466666666666667,1.9393939393939394,1.0,0.13562500000000002,2.4276315789473686,0.775,0.5833333333333334,0.5880758807588077,0.736969696969697
frozenset({'Advance Database System'}),frozenset({'Management and Organizational Behavior'}),0.385,0.375,0.28,0.7272727272727273,1.9393939393939394,1.0,0.13562500000000002,2.291666666666667,0.7876016260162602,0.5833333333333334,0.5636363636363637,0.736969696969697
frozenset({'Advance Database System'}),frozenset({'Mobile Programming'}),0.385,0.34,0.25,0.6493506493506493,1.9098548510313214,1.0,0.11909999999999998,1.882222222222222,0.7746341463414633,0.5263157894736841,0.46871310507674147,0.6923223834988541
frozenset({'Mobile Programming'}),frozenset({'Advance Database System'}),0.34,0.385,0.25,0.7352941176470588,1.9098548510313214,1.0,0.11909999999999998,2.323333333333333,0.7218181818181818,0.5263157894736841,0.5695839311334289,0.6923223834988541
frozenset({'Multimedia Application Development'}),frozenset({'Advance Database System'}),0.37,0.385,0.27,0.7297297297297298,1.8954018954018956,1.0,0.12755000000000002,2.275500000000001,0.7498530276308055,0.5567010309278351,0.5605361459019997,0.7155142155142156
frozenset({'Advance Database System'}),frozenset({'Multimedia Application Development'}),0.385,0.37,0.27,0.7012987012987013,1.8954018954018954,1.0,0.12755000000000002,2.109130434782609,0.7681421258657032,0.5567010309278351,0.5258709544423831,0.7155142155142156
frozenset({'Probability and Statistic'}),frozenset({'Advance Database System'}),0.38,0.385,0.3,0.7894736842105263,2.050580997949419,1.0,0.15369999999999998,2.92125,0.8263440860215052,0.6451612903225806,0.6576807873341891,0.7843472317156528
frozenset({'Advance Database System'}),frozenset({'Probability and Statistic'}),0.385,0.38,0.3,0.7792207792207791,2.0505809979494187,1.0,0.15369999999999998,2.808235294117646,0.8330623306233061,0.6451612903225806,0.6439044826141599,0.7843472317156528
frozenset({'Calculus'}),frozenset({'Artificial Intelligence'}),0.38,0.355,0.265,0.6973684210526316,1.964418087472202,1.0,0.13010000000000002,2.1313043478260876,0.79184418746196,0.5638297872340426,0.5308037535699716,0.7219236471460342
frozenset({'Artificial Intelligence'}),frozenset({'Calculus'}),0.355,0.38,0.265,0.7464788732394367,1.964418087472202,1.0,0.13010000000000002,2.445555555555557,0.7611525522890157,0.5638297872340426,0.5910949568378012,0.7219236471460342
frozenset({'Computer Organization and Architecture'}),frozenset({'Artificial Intelligence'}),0.355,0.355,0.25,0.7042253521126761,1.9837333862328905,1.0,0.123975,2.180714285714286,0.7688372093023256,0.5434782608695653,0.5414346544382576,0.7042253521126761
frozenset({'Artificial Intelligence'}),frozenset({'Computer Organization and Architecture'}),0.355,0.355,0.25,0.7042253521126761,1.9837333862328905,1.0,0.123975,2.180714285714286,0.7688372093023256,0.5434782608695653,0.5414346544382576,0.7042253521126761
frozenset({'Deep Learning'}),frozenset({'Artificial Intelligence'}),0.36,0.355,0.25,0.6944444444444444,1.9561815336463224,1.0,0.1222,2.110909090909091,0.76375,0.5376344086021506,0.5262704565030146,0.6993348982785603
frozenset({'Artificial Intelligence'}),frozenset({'Deep Learning'}),0.355,0.36,0.25,0.7042253521126761,1.9561815336463226,1.0,0.1222,2.1638095238095243,0.757829457364341,0.5376344086021506,0.5378521126760565,0.6993348982785603
frozenset({'Artificial Intelligence'}),frozenset({'Game Intelligence'}),0.355,0.325,0.215,0.6056338028169014,1.863488624052004,1.0,0.099625,1.7116071428571429,0.7184063457724897,0.4623655913978495,0.41575378195096496,0.6335861321776814
frozenset({'Game Intelligence'}),frozenset({'Artificial Intelligence'}),0.325,0.355,0.215,0.6615384615384615,1.8634886240520043,1.0,0.099625,1.905681818181818,0.6864771748492678,0.4623655913978495,0.4752534287418008,0.6335861321776814
frozenset({'Intelligent Robotics'}),frozenset({'Artificial Intelligence'}),0.345,0.355,0.245,0.7101449275362319,2.000408246580935,1.0,0.12252500000000001,2.2252500000000004,0.7635145661317962,0.5384615384615385,0.550612290753848,0.7001428863033272
frozenset({'Artificial Intelligence'}),frozenset({'Intelligent Robotics'}),0.355,0.345,0.245,0.6901408450704225,2.000408246580935,1.0,0.12252500000000001,2.1138636363636363,0.7753520012656225,0.5384615384615385,0.5269325878937748,0.7001428863033272
frozenset({'Artificial Intelligence'}),frozenset({'Numerical Methods'}),0.355,0.39,0.27,0.7605633802816902,1.9501625135427954,1.0,0.13155000000000003,2.5476470588235305,0.7553832902670112,0.568421052631579,0.6074809512814594,0.7264355362946913
frozenset({'Numerical Methods'}),frozenset({'Artificial Intelligence'}),0.39,0.355,0.27,0.6923076923076923,1.9501625135427954,1.0,0.13155000000000003,2.09625,0.7987249544626595,0.568421052631579,0.5229576624925462,0.7264355362946913
frozenset({'Security Risk Management'}),frozenset({'Artificial Intelligence'}),0.335,0.355,0.225,0.6716417910447761,1.8919487071683834,1.0,0.106075,1.9643181818181814,0.7089390142021721,0.48387096774193555,0.49091750549577684,0.6527223039730923
frozenset({'Artificial Intelligence'}),frozenset({'Security Risk Management'}),0.355,0.335,0.225,0.6338028169014085,1.8919487071683834,1.0,0.106075,1.8159615384615388,0.7309216192937124,0.48387096774193555,0.4493275442126443,0.6527223039730923
frozenset({'Software Engineering'}),frozenset({'Artificial Intelligence'}),0.385,0.355,0.265,0.6883116883116883,1.938906164258277,1.0,0.12832500000000002,2.069375,0.7873907040957203,0.5578947368421053,0.5167623074599819,0.7173952807755626
frozenset({'Artificial Intelligence'}),frozenset({'Software Engineering'}),0.355,0.385,0.265,0.7464788732394367,1.9389061642582772,1.0,0.12832500000000002,2.4258333333333346,0.7507678806494077,0.5578947368421053,0.58777052559258,0.7173952807755626
